timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,DAGOR_BETA,BREAKWATERD_LOAD_SHEDDING,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,PRICE_STEP,BREAKWATERD_A,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,PRICE_UPDATE_RATE,INTERCEPT,CHARON_TRACK_PRICE,DAGOR_UMAX,DAGOR_QUEUING_THRESHOLD,BREAKWATER_B,LAZY_UPDATE,RATE_LIMITING,BREAKWATER_TRACK_CREDIT,BREAKWATER_CLIENT_EXPIRATION,LATENCY_THRESHOLD,BREAKWATER_INITIAL_CREDIT,DAGOR_ALPHA,BREAKWATER_LOAD_SHEDDING,BREAKWATER_SLO,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,BREAKWATER_RTT,BREAKWATERD_INITIAL_CREDIT,LOAD_SHEDDING,BREAKWATERD_CLIENT_EXPIRATION,PRICE_STRATEGY
0607_2029,motivate-set,breakwater,10000,3797.798034324616,3797.798034324616,36.19477563999988,29.483894399999997,24.166564,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-10000-0607_2029.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0607_1500,motivate-set,charon,12000,4171.638690654999,4171.638690654999,36.45122884000001,30.4664576,24.496288,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-12000-0607_1500.json,0.01,true,0.02,0.001,1000us,138,0.001,10ms,5697us,charon,false,20,2ms,0.02,true,true,false,10ms,193us,400,0.05,true,12500us,14856us,12500us,1000us,400,true,10ms,linear
0607_2217,motivate-set,dagor,28000,7064.34868894721,6170.414062213597,795.7261877200002,245.6572872999999,51.474946,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-28000-0607_2217.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0608_0100,motivate-set,dagor,14000,5593.619393677525,5593.619393677525,38.06829932,32.3745482,24.401588,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-14000-0608_0100.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0608_0511,S_149998854,breakwaterd,1000,834.0509830359931,834.0509830359931,117.89783272,116.1048565,113.591433,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwaterd-parallel-capacity-1000-0608_0511.json,0.01,true,3.2184178108187558,22.7005236421519,3846us,0,1.5280118517932095,10ms,10ms,breakwaterd,false,20,2ms,0.12163670381664993,false,true,false,4754us,100us,906,0.05,true,2600us,10ms,49838us,10274us,1631,true,36422us,step
0607_2258,motivate-set,breakwater,20000,6922.115418166718,6922.115418166718,53.90642864999998,44.737909949999995,27.794624499999998,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-20000-0607_2258.json,0.01,true,0.02,0.869458465975631,1000us,0,0.001,10ms,10ms,breakwater,false,20,2ms,0.5056524813385149,false,true,false,484us,100us,255,0.05,true,5724us,10ms,12500us,8986us,400,true,10ms,step
0607_2333,motivate-set,charon,12000,4088.46048173002,4088.46048173002,38.26923022,29.751191049999996,24.2915525,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-12000-0607_2333.json,0.01,true,0.02,0.001,1000us,138,0.001,10ms,5697us,charon,false,20,2ms,0.02,true,true,false,10ms,193us,400,0.05,true,12500us,14856us,12500us,1000us,400,true,10ms,linear
0608_0716,motivate-get,dagor,12000,3380.032328342373,3380.032328342373,15.76108929999997,8.904214999999997,5.143426,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-12000-0608_0716.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
0608_0741,motivate-set,charon,30000,4197.470655051817,4197.470655051817,48.71542903999998,37.533523949999996,25.27695,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0608_0741.json,0.01,true,0.02,0.001,1000us,138,0.001,10ms,5697us,charon,false,20,2ms,0.02,true,true,false,10ms,193us,400,0.05,true,12500us,14856us,12500us,1000us,400,true,10ms,linear
0608_0635,motivate-get,dagor,14000,4184.312049932019,4182.673833454203,19.247677759999966,12.514566199999985,5.566383,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-dagor-parallel-capacity-14000-0608_0635.json,0.9402725344777285,true,0.02,0.001,1000us,0,0.001,16214us,10ms,dagor,false,18,69539us,0.02,false,true,false,10ms,100us,400,1.936523151438795,true,12500us,10ms,12500us,1000us,400,true,10ms,step
