timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,PRICE_STEP,LAZY_UPDATE,BREAKWATER_TRACK_CREDIT,LOAD_SHEDDING,LATENCY_THRESHOLD,DAGOR_UMAX,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_B,BREAKWATER_A,BREAKWATERD_RTT,TOKEN_UPDATE_RATE,BREAKWATERD_SLO,RATE_LIMITING,DAGOR_ALPHA,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATER_B,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATER_SLO,BREAKWATERD_A,CHARON_TRACK_PRICE,BREAKWATER_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,DAGOR_QUEUING_THRESHOLD,DAGOR_BETA,BREAKWATERD_INITIAL_CREDIT,BREAKWATER_RTT,INTERCEPT,PRICE_UPDATE_RATE,BREAKWATER_LOAD_SHEDDING
0610_0318,motivate-set,charon,16000,3876.1987857753934,3876.1987857753934,43.288253399999974,35.5313136,25.243984,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-16000-0610_0318.json,138,true,false,true,193us,20,10ms,0.02,0.001,1000us,14856us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,5697us,true
0610_2156,motivate-set,charon,14000,5444.9549779996805,5444.9549779996805,49.08399439999997,39.54817605,25.7784015,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-14000-0610_2156.json,334,true,false,true,6896us,20,10ms,0.02,0.001,1000us,70011us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,646us,true
0611_0039,motivate-get,breakwaterd,28000,10429.845929721132,1598.9478662475162,815.0187598200016,355.3973280499999,107.458306,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwaterd-parallel-capacity-28000-0611_0039.json,0,false,false,true,100us,20,4665us,1.0586457982971709,25.207288874023742,7468us,10ms,58031us,true,0.05,step,55235us,4.801880451158127,10ms,22585us,8.065554750541684,false,949,true,2ms,0.01,3726,12881us,breakwaterd,10ms,true
0610_0038,motivate-get,charon,22000,7640.155052643699,7614.9781877262785,31.2390115,17.729276,6.703675,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-22000-0610_0038.json,138,true,false,true,193us,20,10ms,0.02,0.001,1000us,14856us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,5697us,true
0610_0237,motivate-set,charon,16000,4048.5265098413647,4048.5265098413647,41.8743437,34.423545,25.158275,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-16000-0610_0237.json,138,true,false,true,193us,20,10ms,0.02,0.001,1000us,14856us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,5697us,true
0610_0314,motivate-set,charon,10000,3515.9114250743787,3515.9114250743787,37.493723650000014,31.08008155,24.3941805,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-10000-0610_0314.json,138,true,false,true,193us,20,10ms,0.02,0.001,1000us,14856us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,5697us,true
0610_0246,motivate-get,breakwater,10000,7873.502128234269,7854.719237120627,27.402700780000018,17.056223300000003,5.901937,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-10000-0610_0246.json,0,false,false,true,100us,20,484us,0.02,0.869458465975631,1000us,10ms,12500us,true,0.05,step,10ms,0.5056524813385149,10ms,5724us,0.001,false,255,true,2ms,0.01,400,8986us,breakwater,10ms,true
0610_1448,motivate-set,charon,30000,18044.12303999693,3942.9516170547954,973.87339682,872.4200193,354.888399,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0610_1448.json,242,true,false,true,8027us,20,10ms,0.02,0.001,1000us,65385us,12500us,true,0.05,linear,10ms,0.02,10ms,12500us,0.001,false,400,true,2ms,0.01,400,1000us,charon,10089us,true
0610_2018,motivate-set,breakwater,14000,3152.0761769849396,3152.0761769849396,52.38178724000002,42.55119,26.863766,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-14000-0610_2018.json,0,false,false,true,100us,20,17us,0.02,1.8228921930051563,1000us,10ms,12500us,true,0.05,step,10ms,8.377796521051744,10ms,15185us,0.001,false,1183,true,2ms,0.01,400,29720us,breakwater,10ms,true
0610_0045,motivate-set,breakwater,12000,4678.649428782059,4678.649428782059,43.06098562999995,35.2293796,24.8973895,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-12000-0610_0045.json,0,false,false,true,100us,20,484us,0.02,0.869458465975631,1000us,10ms,12500us,true,0.05,step,10ms,0.5056524813385149,10ms,5724us,0.001,false,255,true,2ms,0.01,400,8986us,breakwater,10ms,true
