timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_RTT,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,LATENCY_THRESHOLD,TOKEN_UPDATE_RATE,PRICE_STRATEGY,BREAKWATERD_INITIAL_CREDIT,LAZY_UPDATE,PRICE_UPDATE_RATE,RATE_LIMITING,DAGOR_ALPHA,BREAKWATER_INITIAL_CREDIT,BREAKWATER_A,BREAKWATERD_CLIENT_EXPIRATION,CHARON_TRACK_PRICE,BREAKWATERD_B,BREAKWATER_CLIENT_EXPIRATION,LOAD_SHEDDING,BREAKWATER_B,BREAKWATER_RTT,BREAKWATERD_LOAD_SHEDDING,INTERCEPT,PRICE_STEP,DAGOR_UMAX,BREAKWATER_TRACK_CREDIT,BREAKWATERD_SLO,DAGOR_BETA,BREAKWATER_SLO,BREAKWATERD_A,DAGOR_QUEUING_THRESHOLD,BREAKWATER_LOAD_SHEDDING
0607_1111,S_102000854,dagor,2000,1942.7172859971772,1942.7172859971772,46.93251283999989,43.921151,40.421435,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-2000-0607_1111.json,1000us,5443us,100us,10ms,step,400,false,10ms,true,0.274757894880173,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,dagor,0,16,false,12500us,2.6518845382867213,12500us,0.001,1582us,true
0607_1104,S_102000854,breakwaterd,14000,5573.282003167181,4880.5646980174515,493.63819536000074,342.94925659999996,127.23005,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-14000-0607_1104.json,8754us,10ms,100us,10ms,step,2892,false,10ms,true,0.05,385,8.097836752950782,50492us,false,9.494892587070712,2141us,true,8.958862181960669,13268us,true,breakwaterd,0,20,false,26591us,0.01,34867us,1.1474597295337519,2ms,true
0607_0644,S_149998854,dagor,10000,2706.2150864445516,2681.2330513150614,574.0620786000006,482.3293739,285.143495,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-dagor-parallel-capacity-10000-0607_0644.json,1000us,3806us,100us,10ms,step,400,false,10ms,true,1.189880849637384,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,dagor,0,9,false,12500us,2.0144790634632894,12500us,0.001,6193us,true
0607_0555,S_149998854,breakwaterd,8000,3804.621235971344,3804.621235971344,342.59077343999996,300.01946910000004,190.144203,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwaterd-parallel-capacity-8000-0607_0555.json,3846us,10ms,100us,10ms,step,1631,false,10ms,true,0.05,906,22.7005236421519,36422us,false,3.2184178108187558,4754us,true,0.12163670381664993,10274us,true,breakwaterd,0,20,false,49838us,0.01,2600us,1.5280118517932095,2ms,true
0607_0709,S_161142529,charon,5000,4983.905236011802,4983.905236011802,97.11929375,88.77937825000001,75.70038600000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-5000-0607_0709.json,1000us,10ms,7297us,25582us,linear,400,true,1089us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,98,20,false,12500us,0.01,12500us,0.001,2ms,true
0607_0749,S_161142529,breakwater,7000,6353.832366424952,6353.832366424952,160.53494148999994,136.85505599999993,96.42696749999999,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-7000-0607_0749.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1425,0.2365020522901441,10ms,false,0.02,789us,true,2.4855710231244577,3605us,true,breakwater,0,20,false,12500us,0.01,1626us,0.001,2ms,true
0607_0533,S_149998854,breakwater,15000,4896.393391536874,4460.159361936394,962.6032861600002,722.5079386000001,275.767657,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwater-parallel-capacity-15000-0607_0533.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1776,0.2895180150248522,10ms,false,0.02,82us,true,1.2813105474595612,18779us,true,breakwater,0,20,false,12500us,0.01,4618us,0.001,2ms,true
0607_0614,S_149998854,breakwaterd,15000,147.94172319450448,147.94172319450448,223.3476277,194.61020770000002,123.122706,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwaterd-parallel-capacity-15000-0607_0614.json,3846us,10ms,100us,10ms,step,1631,false,10ms,true,0.05,906,22.7005236421519,36422us,false,3.2184178108187558,4754us,true,0.12163670381664993,10274us,true,breakwaterd,0,20,false,49838us,0.01,2600us,1.5280118517932095,2ms,true
0607_1253,motivate-set,charon,30000,18137.92615216578,3496.7991181140587,990.6651391999999,875.72419825,313.841056,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0607_1253.json,1000us,10ms,9814us,13950us,linear,400,true,24454us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,68,20,false,12500us,0.01,12500us,0.001,2ms,true
0607_1205,motivate-set,charon,16000,4522.926179893126,4522.926179893126,36.88049716,31.560899199999998,24.537255,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-16000-0607_1205.json,1000us,10ms,367us,23465us,linear,400,true,21392us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,150,20,false,12500us,0.01,12500us,0.001,2ms,true
