timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,BREAKWATER_A,DAGOR_ALPHA,PRICE_UPDATE_RATE,BREAKWATER_SLO,INTERCEPT,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_A,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,LATENCY_THRESHOLD,PRICE_STEP,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_B,DAGOR_UMAX,BREAKWATER_INITIAL_CREDIT,BREAKWATER_CLIENT_EXPIRATION,RATE_LIMITING,LOAD_SHEDDING,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_RTT,LAZY_UPDATE,BREAKWATER_B,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE
0529_2353,S_149998854,dagor,7000,3139.1727479332035,3139.1727479332035,371.10486535999974,309.67963,211.950332,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-dagor-parallel-capacity-7000-0529_2353.json,12500us,6193us,0.001,1.189880849637384,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,3806us,0.02,9,400,10ms,true,true,2.0144790634632894,false,1000us,false,0.02,step,10ms,10ms
0530_2306,S_102000854,breakwater,16000,7596.19012512652,68.45163325086104,963.4656855,863.4625715,581.672078,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-16000-0530_2306.json,12500us,2ms,20.0,0.05,10ms,20000us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1,0us,true,true,0.01,false,0us,false,0.7175473082697388,step,10ms,10ms
0529_1759,S_102000854,dagor,10000,5911.681152307408,2675.6896457997477,520.81972836,424.03165639999986,226.300635,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-10000-0529_1759.json,12500us,14898us,0.001,0.8346096047342539,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,13738us,0.02,7,400,10ms,true,true,1.6760694853372549,false,1000us,false,0.02,step,10ms,10ms
0529_0402,S_161142529,breakwater,10000,6280.220326201195,6280.220326201195,210.12829925,170.481663,112.99851000000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-10000-0529_0402.json,12500us,2ms,3.414535635018713e-11,0.05,10ms,19999us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,2000,0us,true,true,0.01,false,11264us,false,0.0,step,10ms,10ms
0530_2118,S_161142529,breakwater,16000,5765.7651441765975,2388.7973390118723,990.4196574,952.6437066,400.010865,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-16000-0530_2118.json,12500us,2ms,5.608879841288104,0.05,10ms,5942us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,896,516us,true,true,0.01,false,18171us,false,1.578558656902977,step,10ms,10ms
0531_0704,S_149998854,dagor,12000,182.52674459484572,67.84270991991163,1000.0025442,988.2212744,762.067376,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-dagor-parallel-capacity-12000-0531_0704.json,12500us,43209us,0.001,0.42810294820676,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,11458us,0.02,17,400,10ms,true,true,2.948000329259253,false,1000us,false,0.02,step,10ms,10ms
0531_0321,S_149998854,charon,12000,4019.6469416792524,4019.6469416792524,391.67634468000006,289.13698959999994,146.034147,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-12000-0531_0321.json,12500us,2ms,0.001,0.05,844us,12500us,charon,true,0.001,1000us,400,true,8348us,33,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,31676us
0531_0125,S_102000854,breakwater,16000,231.0941990507187,100.07204155321301,320.27273703000003,306.31306134999994,226.2310445,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-16000-0531_0125.json,12500us,2ms,5.608879841288104,0.05,10ms,3006us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,896,516us,true,true,0.01,false,18171us,false,3.946396642257443,step,10ms,10ms
0530_0228,S_149998854,charon,10000,4036.099782278099,4031.2530388823284,500.1706484600005,394.48640839999996,128.649314,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-10000-0530_0228.json,12500us,2ms,0.001,0.05,27954us,12500us,charon,true,0.001,1000us,400,true,582us,14,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,38522us
0531_0537,S_161142529,dagor,14000,3878.037766295435,3878.037766295435,248.69247602999988,201.89976924999993,119.279032,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-dagor-parallel-capacity-14000-0531_0537.json,12500us,1000us,0.001,0.28728230544397093,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,11785us,0.02,20,400,10ms,true,true,3.0,false,1000us,false,0.02,step,10ms,10ms
0528_2337,S_161142529,breakwaterd,10000,2432.2911774016793,2359.000453543852,393.72593244,341.3526187999999,213.035708,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwaterd-parallel-capacity-10000-0528_2337.json,26591us,2ms,8.097836752950782,0.05,10ms,34867us,breakwaterd,true,1.1474597295337519,8754us,2892,true,100us,0,10ms,9.494892587070712,20,385,2141us,true,true,0.01,false,13268us,false,8.958862181960669,step,50492us,10ms
0530_0729,S_161142529,breakwater,12000,1388.190012770164,212.0363771527894,989.61851285,956.0430263,532.394679,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-12000-0530_0729.json,12500us,2ms,15.166390757724063,0.05,10ms,19318us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1170,1167us,true,true,0.01,false,15333us,false,0.40750021650226187,step,10ms,10ms
0529_2045,S_102000854,breakwaterd,7000,6727.556591601256,6718.5236964659825,185.43239999999992,154.6212,100.49069,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-7000-0529_2045.json,26591us,2ms,8.097836752950782,0.05,10ms,34867us,breakwaterd,true,1.1474597295337519,8754us,2892,true,100us,0,10ms,9.494892587070712,20,385,2141us,true,true,0.01,false,13268us,false,8.958862181960669,step,50492us,10ms
